id;code;libelle;valeur;created_by;last_modified_by
1;TITRE_GAUCHE;Titre gauche;;system;system
2;TITRE_DROIT;Titre droit;;system;system
3;PARAGRAPHE_GAUCHE;Paragraphe gauche;;system;system
4;PARAGRAPHE_DROIT;Paragraphe droit;;system;system
